timestamp,server,database,sql,success,rows_affected,duration_ms
2026-06-18T19:51:37.243323,"192.168.11.247, 1433",ERPMIRA,select * from situacao_exerc_contabil,True,0,7
2026-06-18T19:55:22.430517,"192.168.11.247, 1433",ERPMIRA,select * from situacao_exerc_contabil,True,0,8
2026-06-18T19:56:27.886554,"192.168.11.247, 1433",ERPMIRA,select top 30 * from situacao_exerc_contabil,True,0,9
2026-06-18T19:59:02.825554,"192.168.11.247, 1433",ERPMIRA,select top 30 * from situacao_exerc_contabil,True,0,6
2026-06-18T19:59:25.405072,"192.168.11.247, 1433",ERPMIRA,select * from situacao_exerc_contabil,True,0,8
2026-06-18T20:09:26.488283,"192.168.11.247, 1433",ERPMIRA,select * from situacao_exerc_contabil,True,0,6
2026-06-18T20:09:49.820112,"192.168.11.247, 1433",ERPMIRA,select * from situacao_exerc_contabil,True,26,48
2026-06-18T20:09:53.000335,"192.168.11.247, 1433",ERPMIRA,select * from situacao_exerc_contabil,True,26,47
2026-06-18T20:10:39.899730,"192.168.11.247, 1433",ERPMIRA,select * from CNT_SALDOS_MENSAIS where exercicio >= 2025,True,8835,570
2026-06-18T20:11:02.097411,"192.168.11.247, 1433",ERPMIRA,delete from CNT_SALDOS_MENSAIS where exercicio >= 2025,True,8835,87
2026-06-18T20:11:14.903231,"192.168.11.247, 1433",ERPMIRA,select *  from CNT_SALDOS_MENSAIS where exercicio >= 2025,True,0,14
2026-06-18T20:20:02.133116,"192.168.11.247, 1433",ERPMIRA,select * from CNT_SALDOS_MENSAIS where exercicio >= 2025,True,8835,323
2026-06-18T21:15:25.893250,"192.168.11.247, 1433",ERPMIRA,select * from plano_grau,True,15,11
2026-06-18T21:28:24.821709,"192.168.11.247, 1433",ERPMIRA,select * from HIST_PAD_CONTABIL,True,40,8
2026-06-18T22:21:59.126746,"192.168.11.247, 1433",ERPMIRA,select * from plano_referencial,False,0,19
2026-06-18T22:22:07.940830,"192.168.11.247, 1433",ERPMIRA,select * from plano_referencial_sped,True,11156,510
2026-06-18T22:22:22.252262,"192.168.11.247, 1433",ERPMIRA,select * from plano_referencial_sped where ano_calendario >= 2025,True,0,8
2026-06-18T22:22:26.137176,"192.168.11.247, 1433",ERPMIRA,select * from plano_referencial_sped where ano_calendario >= 2024,True,1860,204
2026-06-18T22:22:51.180114,"192.168.11.247, 1433",ERPMIRA,select * from plano_referencial_sped where ano_calendario >= 2025,True,1860,203
2026-06-18T22:35:30.350639,"192.168.11.247, 1433",ERPMIRA,Select * from empresa,True,3,9
