timestamp,server,database,success
2026-06-17T23:18:34.548175,"192.168.11.247, 1433",ERPMIRA,False
2026-06-17T23:20:57.446126,"192.168.11.247, 1433",ERPMIRA,False
2026-06-17T23:20:59.333827,"192.168.11.247, 1433",ERPMIRA,False
2026-06-17T23:21:03.127838,"192.168.11.247, 1433",ERPMIRA,False
2026-06-17T23:21:05.813797,"192.168.11.247, 1433",ERPMIRA,False
2026-06-17T23:23:27.137777,"192.168.11.247, 1433",ERPMIRA,True
2026-06-17T23:32:09.549518,"192.168.11.247, 1433",ERPMIRA,True
2026-06-17T23:37:14.201902,"192.168.11.247, 1433",ERPMIRA,False
2026-06-17T23:37:26.826869,"192.168.11.247, 1433",ERPMIRA,True
2026-06-17T23:44:14.671000,"192.168.11.247, 1433",ERPMIRA,True
2026-06-17T23:58:59.675689,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T00:24:19.904154,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T00:30:18.982092,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T00:37:19.334889,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T00:38:32.789795,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T07:50:30.155707,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T19:04:48.261453,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T19:16:42.261989,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T19:20:02.563653,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T19:50:16.932652,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T19:55:08.184152,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T19:59:11.410601,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T20:09:14.440080,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T20:19:49.560941,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T21:37:07.165983,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T22:27:13.935145,"192.168.11.247, 1433",ERPMIRA,True
2026-06-18T22:34:58.970837,"192.168.11.247, 1433",ERPMIRA,True
